date,area,count
2020-01-28T00:00,中国武漢市,1
2020-02-14T00:00,石狩振興局,1
2020-02-19T00:00,渡島総合振興局,1
2020-02-19T00:00,石狩振興局,2
2020-02-21T00:00,上川総合振興局,2
2020-02-21T00:00,石狩振興局,1
2020-02-22T00:00,オホーツク総合振興局,1
2020-02-22T00:00,上川総合振興局,1
2020-02-22T00:00,根室振興局,1
2020-02-22T00:00,渡島総合振興局,3
2020-02-22T00:00,石狩振興局,2
2020-02-22T00:00,胆振総合振興局,2
2020-02-23T00:00,上川総合振興局,4
2020-02-23T00:00,石狩振興局,1
2020-02-23T00:00,胆振総合振興局,2
2020-02-23T00:00,釧路総合振興局,1
2020-02-24T00:00,オホーツク総合振興局,1
2020-02-24T00:00,石狩振興局,3
2020-02-25T00:00,オホーツク総合振興局,1
2020-02-25T00:00,上川総合振興局,2
2020-02-25T00:00,石狩振興局,1
2020-02-25T00:00,釧路総合振興局,1
2020-02-26T00:00,大阪府,1
2020-02-26T00:00,日高振興局,2
2020-02-26T00:00,渡島総合振興局,1
2020-02-27T00:00,オホーツク総合振興局,3
2020-02-27T00:00,上川総合振興局,2
2020-02-27T00:00,十勝総合振興局,1
2020-02-27T00:00,檜山振興局,2
2020-02-27T00:00,渡島総合振興局,2
2020-02-27T00:00,石狩振興局,2
2020-02-27T00:00,空知総合振興局,1
2020-02-27T00:00,釧路総合振興局,2
2020-02-28T00:00,オホーツク総合振興局,2
2020-02-28T00:00,上川総合振興局,2
2020-02-28T00:00,檜山振興局,1
2020-02-28T00:00,石狩振興局,4
2020-02-28T00:00,空知総合振興局,1
2020-02-28T00:00,釧路総合振興局,2
2020-02-29T00:00,石狩振興局,3
2020-02-29T00:00,胆振総合振興局,1
2020-03-01T00:00,オホーツク総合振興局,1
2020-03-01T00:00,石狩振興局,1
2020-03-02T00:00,オホーツク総合振興局,3
2020-03-02T00:00,上川総合振興局,1
2020-03-02T00:00,石狩振興局,1
2020-03-03T00:00,石狩振興局,2
2020-03-04T00:00,オホーツク総合振興局,1
2020-03-04T00:00,上川総合振興局,2
2020-03-05T00:00,石狩振興局,1
2020-03-06T00:00,オホーツク総合振興局,2
2020-03-06T00:00,石狩振興局,5
2020-03-07T00:00,オホーツク総合振興局,1
2020-03-07T00:00,石狩振興局,6
2020-03-07T00:00,空知総合振興局,1
2020-03-08T00:00,上川総合振興局,1
2020-03-08T00:00,空知総合振興局,2
2020-03-09T00:00,石狩振興局,7
2020-03-10T00:00,石狩振興局,3
2020-03-11T00:00,オホーツク総合振興局,1
2020-03-11T00:00,上川総合振興局,1
2020-03-11T00:00,石狩振興局,4
2020-03-11T00:00,空知総合振興局,1
2020-03-12T00:00,後志総合振興局,1
2020-03-12T00:00,石狩振興局,9
2020-03-13T00:00,オホーツク総合振興局,2
2020-03-13T00:00,石狩振興局,12
2020-03-14T00:00,石狩振興局,2
2020-03-15T00:00,オホーツク総合振興局,2
2020-03-15T00:00,空知総合振興局,1
2020-03-15T00:00,胆振総合振興局,1
2020-03-16T00:00,オホーツク総合振興局,1
2020-03-16T00:00,石狩振興局,3
2020-03-18T00:00,石狩振興局,1
2020-03-18T00:00,釧路総合振興局,1
2020-03-19T00:00,上川総合振興局,1
2020-03-19T00:00,石狩振興局,2
2020-03-20T00:00,石狩振興局,1
2020-03-21T00:00,釧路総合振興局,1
2020-03-22T00:00,後志総合振興局,2
2020-03-22T00:00,石狩振興局,1
2020-03-24T00:00,石狩振興局,1
2020-03-25T00:00,石狩振興局,3
2020-03-25T00:00,茨城県,1
2020-03-26T00:00,後志総合振興局,1
2020-03-27T00:00,石狩振興局,1
2020-03-28T00:00,上川総合振興局,1
2020-03-28T00:00,後志総合振興局,1
2020-03-28T00:00,石狩振興局,1
2020-03-29T00:00,石狩振興局,3
2020-03-29T00:00,神奈川県,1
2020-03-30T00:00,胆振総合振興局,1
2020-04-01T00:00,オホーツク総合振興局,1
2020-04-01T00:00,上川総合振興局,2
2020-04-01T00:00,神奈川県,1
2020-04-01T00:00,空知総合振興局,1
2020-04-02T00:00,石狩振興局,1
2020-04-02T00:00,釧路総合振興局,2
2020-04-03T00:00,石狩振興局,4
2020-04-03T00:00,釧路総合振興局,1
2020-04-04T00:00,石狩振興局,2
2020-04-04T00:00,釧路総合振興局,1
2020-04-05T00:00,後志総合振興局,1
2020-04-07T00:00,石狩振興局,4
2020-04-08T00:00,オホーツク総合振興局,1
2020-04-08T00:00,上川総合振興局,2
2020-04-08T00:00,留萌振興局,1
2020-04-08T00:00,石狩振興局,6
2020-04-09T00:00,オホーツク総合振興局,1
2020-04-09T00:00,上川総合振興局,1
2020-04-09T00:00,東京都,1
2020-04-09T00:00,石狩振興局,15
2020-04-10T00:00,オホーツク総合振興局,1
2020-04-10T00:00,留萌振興局,2
2020-04-10T00:00,石狩振興局,10
2020-04-11T00:00,オホーツク総合振興局,2
2020-04-11T00:00,石狩振興局,13
2020-04-11T00:00,非公表,1
2020-04-12T00:00,石狩振興局,12
2020-04-13T00:00,石狩振興局,5
2020-04-14T00:00,上川総合振興局,5
2020-04-14T00:00,東京都,1
2020-04-14T00:00,石狩振興局,10
2020-04-14T00:00,釧路総合振興局,2
2020-04-15T00:00,上川総合振興局,4
2020-04-15T00:00,石狩振興局,16
2020-04-15T00:00,空知総合振興局,2
2020-04-15T00:00,非公表,1
2020-04-16T00:00,上川総合振興局,3
2020-04-16T00:00,後志総合振興局,1
2020-04-16T00:00,根室振興局,1
2020-04-16T00:00,石狩振興局,12
2020-04-16T00:00,空知総合振興局,1
2020-04-16T00:00,釧路総合振興局,5
2020-04-17T00:00,オホーツク総合振興局,2
2020-04-17T00:00,上川総合振興局,1
2020-04-17T00:00,宗谷総合振興局,1
2020-04-17T00:00,石狩振興局,26
2020-04-17T00:00,空知総合振興局,2
2020-04-17T00:00,非公表,1
